nome,Cognome,Votazione,gruppoVotazione
Albert,Laniece,si,Aut (SVP-UV-PATT-UPT-PSI)
Linda,Lanzillotta,si,PD
Nicola,Latorre,si,PD
Stefano,Lepri,si,PD
Barbara,Lezzi,-,M5S
Pietro,Liuzzi,no,CoR
Sergio,Lo Giudice,si,PD
Doris,Lo Moro,si,PD
Eva,Longo,si,AL-A
Fausto Guilherme,Longo,si,Aut (SVP-UV-PATT-UPT-PSI)
Carlo,Lucherini,si,PD
Stefano,Lucidi,no,M5S
Giuseppe,Lumia,si,PD
Lucio,Malan,no,FI-PdL
Patrizia,Manassero,si,PD
Luigi,Manconi,si,PD
Bruno,Mancuso,si,AP  (NCD-UDC)
Andrea,Mandelli,no,FI-PdL
Giovanna,Mangili,no,M5S
Alessandro,Maran,si,PD
Andrea,Marcucci,si,PD
Salvatore,Margiotta,si,Misto
Marco,Marin,no,FI-PdL
Giuseppe Francesco Maria,Marinello,si,AP  (NCD-UDC)
Luigi,Marino,si,AP  (NCD-UDC)
Mauro Maria,Marino,si,PD
Carlo,Martelli,no,M5S
Claudio,Martini,si,PD
Bruno,Marton,no,M5S
Marino Germano,Mastrangeli,-,Misto
Altero,Matteoli,no,FI-PdL
Donella,Mattesini,si,PD
Giuseppina,Maturani,si,PD
Giovanni,Mauro,no,GAL
Mario,Mauro,no,GAL
Riccardo,Mazzoni,si,AL-A
Maria Paola,Merloni,si,Aut (SVP-UV-PATT-UPT-PSI)
Alfredo,Messina,no,FI-PdL
Claudio,Micheloni,si,PD
Maurizio,Migliavacca,si,PD
Antonio,Milo,no,CoR
Corradino,Mineo,no,Misto
Marco,Minniti,si,PD
Augusto,Minzolini,no,FI-PdL
Franco,Mirabelli,si,PD
Francesco,Molinari,no,Misto
Michela,Montevecchi,no,M5S
Mario,Monti,-,Misto
Mario,Morgoni,si,PD
Vilma,Moronese,no,M5S
Nicola,Morra,no,M5S
Claudio,Moscardelli,si,PD
Massimo,Mucchetti,si,PD
Emanuela,Munerato,si,Misto
Maria,Mussini,no,Misto
Paolo,Naccarato,-,GAL
Giorgio,Napolitano,si,Aut (SVP-UV-PATT-UPT-PSI)
Riccardo,Nencini,si,Aut (SVP-UV-PATT-UPT-PSI)
Paola,Nugnes,no,M5S
Andrea,Olivero,si,Aut (SVP-UV-PATT-UPT-PSI)
Luis Alberto,Orellana,si,Aut (SVP-UV-PATT-UPT-PSI)
Pamela Giacoma Giovanna,Orru',si,PD
Venera,Padua,si,PD
Pippo,Pagano,si,AP  (NCD-UDC)
Giorgio,Pagliari,si,PD
Sara,Paglini,-,M5S
Lionello Marco,Pagnoncelli,-,CoR
Francesco,Palermo,-,Aut (SVP-UV-PATT-UPT-PSI)
Nitto Francesco,Palma,no,FI-PdL
Franco,Panizza,si,Aut (SVP-UV-PATT-UPT-PSI)
Annamaria,Parente,si,PD
Carlo,Pegorer,si,PD
Paola,Pelino,no,FI-PdL
Bartolomeo,Pepe,-,GAL
Luigi,Perrone,no,CoR
Alessia,Petraglia,no,Misto
Vito Rosario,Petrocelli,no,M5S
Stefania,Pezzopane,si,PD
Renzo,Piano,-,Aut (SVP-UV-PATT-UPT-PSI)
Enrico,Piccinelli,si,AL-A
Giovanni,Piccoli,no,FI-PdL
Leana,Pignedoli,si,PD
Roberta,Pinotti,si,PD
Luciano,Pizzetti,si,PD
Sergio,Puglia,no,M5S
Francesca,Puglisi,si,PD
Laura,Puppato,si,PD
Gaetano,Quagliariello,-,GAL
Raffaele,Ranucci,si,PD
Antonio,Razzi,no,FI-PdL
Manuela,Repetti,si,Misto
Lucrezia,Ricchiuti,si,PD
Maria,Rizzotti,no,FI-PdL
Maurizio,Romani,si,Misto
Paolo,Romani,no,FI-PdL
Lucio,Romano,si,Aut (SVP-UV-PATT-UPT-PSI)
Gianluca,Rossi,si,PD
Luciano,Rossi,si,AP  (NCD-UDC)
Mariarosaria,Rossi,no,FI-PdL
Maurizio,Rossi,-,Misto
Carlo,Rubbia,-,Aut (SVP-UV-PATT-UPT-PSI)
Francesco,Russo,si,PD
Roberto,Ruta,si,PD
Giuseppe,Ruvolo,si,AL-A
Maurizio,Sacconi,si,AP  (NCD-UDC)
Angelica,Saggese,si,PD
Gian Carlo,Sangalli,si,PD
Vincenzo,Santangelo,no,M5S
Giorgio,Santini,si,PD
Francesco,Scalia,si,PD
Antonio,Scavone,si,AL-A
Renato,Schifani,si,AP  (NCD-UDC)
Salvatore,Sciascia,no,FI-PdL
Marco,Scibona,no,M5S
Domenico,Scilipoti Isgro',no,FI-PdL
Francesco,Scoma,no,FI-PdL
Giancarlo,Serafini,no,FI-PdL
Manuela,Serra,-,M5S
Cosimo,Sibilia,no,FI-PdL
Annalisa,Silvestro,si,PD
Ivana,Simeoni,no,Misto
Pasquale,Sollo,si,PD
Lodovico,Sonego,si,PD
Maria,Spilabotte,si,PD
Ugo,Sposetti,si,PD
Erika,Stefani,no,Lega
Dario,Stefano,no,Misto
Giacomo,Stucchi,no,Lega
Gianluca,Susta,si,PD
Lucio,Tarquinio,no,CoR
Paola,Taverna,no,M5S
Walter,Tocci,no,PD
Salvatore,Tomaselli,si,PD
Giorgio,Tonini,si,PD
Salvatore,Torrisi,si,AP  (NCD-UDC)
Paolo,Tosato,no,Lega
Giulio,Tremonti,no,GAL
Mario,Tronti,si,PD
Renato Guerino,Turano,-,PD
Luciano,Uras,-,Misto
Stefano,Vaccari,si,PD
Giuseppe,Vacciano,no,Misto
Mara,Valdinosi,si,PD
Daniela,Valentini,si,PD
Vito,Vattuone,si,PD
Denis,Verdini,si,AL-A
Francesco,Verducci,si,PD
Simona,Vicari,si,AP  (NCD-UDC)
Guido,Viceconte,si,AP  (NCD-UDC)
Riccardo,Villari,si,FI-PdL
Raffaele,Volpi,no,Lega
Luigi,Zanda,si,PD
Magda Angela,Zanoni,si,PD
Sergio,Zavoli,si,PD
Karl,Zeller,si,Aut (SVP-UV-PATT-UPT-PSI)
Claudio,Zin,si,Aut (SVP-UV-PATT-UPT-PSI)
Vittorio,Zizza,no,CoR
Sante,Zuffada,no,FI-PdL
